Sea Level,Filename,Fish Display Name,Size,Weight,Size Category,Description,Artist Credit,Writer Credit,Fish Image Alt Text Description,Speed,Position X,Position X Range,Position Y,Is Static
Surface,MediumFish_Seagull_honyou,Seagull,0.5m,1.2kg,M,"Gulls come in a variety of types and sizes, with this particular species native to the land of Northern Elysium. With wingspans that reach up to 1 meter in length, the Larus Elysionus establishes its domain in the skies of Elysium’s coastal shores. It eats fish alongside rodents and reptiles. Fruits, seeds, and eggs make up these omnivorous birds’ diet as well. The photographed specimen above appears to have a blue belt around its neck, a sign of rescue from a certain beloved hero of Elysium.",honyou (@hou37707274),wingess (@wingzz71),A white Seagull in flight. The tips of its wings and tail feathers are black. It has a bright blue belt around its neck.,,,100-400,600,FALSE
Surface,MediumFish_Portuguesemanowar_mmmonstruo,Portuguese Man o' War,10m,0.5kg,M,"While they look like jellyfish, Portuguese Man O' Wars are actually siphonophores. They are made up of individual organisms that work together to operate as one entity. This creature is named after an old warship at full sail. They have a balloon-like float that they use to travel by being propelled by wind for thousands of miles. Hidden beneath the float are long strands of tentacles packed with enough venom to kill small fish. Despite the danger, certain fishes have been found living within them.",mmmonstruo (@mmmonstruo),Dhol (@dholwrites),"A purple and blue Portuguese Man o’ War. Its body is shaped like a teapot spout, with jellyfish-like tentacles attached to the bottom. Its top fin is light purple and translucent.",0.75,,,2200,FALSE
Surface,BigFish_BlueWhale_Mikan3rd,Blue Whale,27m,90718.47kg,L,"Whale, whale, whale, look who decided to show up. It’s the largest mammal on Earth, the blue whale! Despite their massive size, they’re quite the gentle giant posing no threat to humans by feeding on plankton through baleen in their mouths. They often communicate through clicks, whistles, and pulsed calls. Perhaps if you listen close enough, you’ll be able to hear the faint melody of “On Top of the World.” Fun Fact: Did you know their ancestors used to walk the Earth nearly 50 million years ago?",Mikan3rd (@fh_pocket),olive (@zenneful),"A Blue Whale, facing left. Its back is a dark blue color, and its belly is white. It has translucent, light blue fins, and floating crystals near its eyes of the same color.",,,,,FALSE
Surface,BigFish_KillerWhale_yukinayee,Killer Whale,8.2m,6500kg,L,"They don’t call this the “killer” whale for nothing. Among the largest of ocean mammals, the Killer Whale is known to be a fast swimmer who takes long walks at 3 AM in search of its meal. With 46 sharp teeth perfect for tearing, the Killer Whale is especially volatile when alone. Once its prey catches sight of its red light fragments, it’s already too late…",yukinayee (@_yukinayee),mochii (@mochiismo),"A Killer Whale, facing left. Its body is mostly black, with a white belly and white spot above its eye. It has red crystals floating near its face.",,,,,FALSE
Surface,BigFish_LionsManeJellyfish_miiversian,Lions Mane Jellyfish,36.5m,217kg,L,"Nicknamed the giant jellyfish, this not-fish is far from being a short king. With the largest one recorded to have a stunning mane of tentacles measuring up to 120 ft, its length rivals the blue whale! Whether you jelly-ve it or not, it’s true. Sadly, it isn’t the record holder for the longest marine creature out there, but that's a story for another day. You go, not-short king!",miiversian (@miiversian),Koryn (@Koryn),"A Lion’s Mane Jellyfish, swimming diagonally. It has a translucent, white, umbrella-shaped top, with bright red tentacles trailing behind it.",,,,,FALSE
Surface,Bigfish_loggerheadseaturtle_irisnoira,Loggerhead Sea Turtle,0.95m,124.75kg,L,"Take a good look at the Loggerhead Sea Turtle. Any guess why it’s named like that? Yes, it’s named after its adorable log-like head! Take another good look at it. See that adorable but powerful jaw? They use it to crack shells open, be it crabs, clams, or conches, with a nice, good CRONCH! Take one more good look. Look at its adorable eyes peering into your soul. Don't you just want to love and protect it with your life? Or with Leader’s shiny light armor? Well, we really should; it’s endangered!",Irisnoira (@chococattail),Jhe (@chuzuroon),"A brown and tan coloured Loggerhead Sea Turtle. Along its brown shell as well as the base of its fins, it has blue, glowing armor, reminiscent of Altare's.",,,,,FALSE
Surface,BigFish_MantaRay_Sena,Manta Ray,4.2m,1270kg,L,"Hanging out by the Northern Elysium Bay, the manta ray is seen feeding on plankton, krill, larvae, small fish, and others. With a wingspan of about 12ft, a certain manta ray has the ability to swim up to 30 mph as it is slightly smaller than the average manta ray. This manta ray has a unique pattern that resembles the night sky and can be seen leaping about 3ft out of the water during a full moon. Because this manta ray has a night sky pattern, they enjoy hiding behind rocks and tall plants to spook night-time creatures that pass by, such as squid and schools of fish.",Sena (@senaama1),Hailey (haileysscomett),"A dark blue-gray Manta Ray. The underside of its fins, body, and tail are all a lighter blue. The top side of its body has light blue and white spots.",,,,,FALSE
Surface,BigFish_MolaMola_HoneyStar,Mola Mola,3m,1000kg,L,"Mola Mola are known to be among the stranger-looking fish as they look more like flattened fish heads with large dorsal and ventral fins. They spend most of their lives drifting with water currents and wandering from one ocean to another with little care. Often found in warmer waters, many people have seen this giant fish flipped on its side and basking in the sun to regulate its temperature. This is how they have gotten their nickname, the “Sunfish.”",HoneyStar (@HoneyStarDraws),Dhol (@dholwrites),"A round, gray Mola Mola. It's mostly white, with a dark gray, dotted gradient towards its outer fins. It has a similarly gray pectoral fin.",,,,,FALSE
Surface,BigFish_OceanicWhiteTipShark_Jellybeans,Oceanic White Tip Shark,4m,92kg,L,"As the name goes swimmingly, the Oceanic Whitetip is a fa-sea-nating requiem shark that can be found in warmer waters of the open ocean. Being opportunistic feeders, they feed on almost anything they come across. Like other requiem sharks, they are sand-sationally nonstop swimmers who rely on ram breathing, actively hunting during day and night. They are notoriously gill-ty for being past shipwreck victim feeders with jaws-ome group hunting skills. You can swim, but you can't tide!",Jellybeans (@jbeanscat),MIMI (@immimisme),"An Oceanic Whitetip Shark. The majority of its body is a dark blue, with the tips of its fins and belly being white. It has green eyes with cat-slit pupils.",,,,,FALSE
Surface,BigFish_Swordfish_Tootles,Swordfish,3.048m,90kg,L,"While hatching at only a few millimeters long and weighing a few hundredths of a gram, swordfish evolve from being preyed upon at birth to becoming one of the largest and most aggressive predators prowling the open ocean. They hold specialized blood vessel structures, known as countercurrent exchangers, that warm their brains and eyes, enabling them to think quicker and see more clearly while hunting in deep waters. And yes, they are capable of impaling humans, so please avoid provoking one.",Tootles (@tootlini),Phe (@phe_mist),"A Swordfish. It has a long, navy blue body with round, fluorescent, cyan designs all across it. It’s wearing gray, metal armor around its torso and bottom jaw, with a hook attached near its tail fin.",,,,,FALSE
